PoNumber,Item No,Quantity,Vendor Challan No,Challan Date,Assesable Value,BED Value,SED Value,AED Value,ECS value,S&H E cess Value,S&H E cess Rate %,ECS Rate %,BED %,AED %,SED %,Sales Tax,Invoice amount,VAT amount,Currency,Form 31-Series No,Form 31 No,Invoice Number,Invoice Date,Vehicle Number,Packages,PackUnit,
2540132379,10,20,P00131,05.04.2017,49869,6234,0,0,0,0,0,0,12.5,0,0,0,63676.9,7573.9,INR,,,,,MH14 CP2472,,,
2540132379,10,10,P00132,05.04.2017,24934.5,3117,0,0,0,0,0,0,12.5,0,0,0,31838.45,3786.95,INR,,,,,MH14 CP2472,,,
2540132379,10,10,P00133,05.04.2017,24934.5,3117,0,0,0,0,0,0,12.5,0,0,0,31838.45,3786.95,INR,,,,,MH14 CP2472,,,
2540132379,10,5,P00134,05.04.2017,12467.25,1558,0,0,0,0,0,0,12.5,0,0,0,15918.66,1893.41,INR,,,,,MH14 CP2472,,,
2540131755,10,5,P00135,05.04.2017,11277.5,1410,0,0,0,0,0,0,12.5,0,0,0,14400.31,1712.81,INR,,,,,MH14 CP2472,,,
2540131761,10,10,P00144,05.04.2017,7320.7,915,0,0,0,0,0,0,12.5,0,0,0,9347.52,1111.82,INR,,,,,MH14 CP2472,,,
2540131761,10,30,P00145,05.04.2017,21962.1,2745,0,0,0,0,0,0,12.5,0,0,0,28042.56,3335.46,INR,,,,,MH14 CP2472,,,
2540131761,10,10,P00146,05.04.2017,7320.7,915,0,0,0,0,0,0,12.5,0,0,0,9347.52,1111.82,INR,,,,,MH14 CP2472,,,
2540131761,10,10,P00147,05.04.2017,7320.7,915,0,0,0,0,0,0,12.5,0,0,0,9347.52,1111.82,INR,,,,,MH14CP 2472,,,
2540131776,10,982,P00148,06.04.2017,42157.26,5270,0,0,0,0,0,0,12.5,0,0,0,53829.94,6402.68,INR,,,,,,,,
2540131775,10,588,P00149,06.04.2017,19839.12,2480,0,0,0,0,0,0,12.5,0,0,0,25332.2,3013.08,INR,,,,,,,,
2540131777,10,245,P00150,06.04.2017,1891.4,236,0,0,0,0,0,0,12.5,0,0,0,2414.6,287.2,INR,,,,,,,,
